engine,score,kind,pages,ok,error,wallMs,wallMsPerPage,usd,tokensIn,tokensOut,f1,precision,recall,anyHandF1,globalF1,onsetMeanAbs,durationAcc,barsGt,barsEng,barsAligned,barsExactDur,barsOverfull,barsUnderfull,geoRecall,geoXIoU,scoreDataMeasures,measuresPlaced,measuresWithSlots,systemsWithStaves,fallbackPages,llmCalls,warnings
audiveris-5.6.1,mozart-11-3,typeset,5,true,,51614,10323,0,,,0.7411,0.9011,0.6293,0.7411,0.3181,0.3,0.9663,137,140,137,124,9,4,1,,243,243,240,29,,,measure_underfull measure_overfull tempo_inferred dynamics_not_staff_split repeats_unrolled
audiveris-5.6.1,mozart-12-2,typeset,6,true,,50593,8432,0,,,0.8359,0.9143,0.7699,0.8359,0.2968,6.5,0.9734,40,40,40,32,7,1,1,,40,40,34,25,,,multi_part_collapsed measure_overfull measure_underfull tempo_inferred
audiveris-5.6.1,chopin-10-3,typeset,7,true,,64997,9285,0,,,0.9339,0.936,0.9317,0.9339,0.3875,6.6,0.9878,78,78,78,71,7,0,1,,78,78,71,26,,,measure_overfull measure_underfull tempo_defaulted
audiveris-5.6.1,scriabin-8-11,typeset,3,true,,28588,9529,0,,,0.9189,0.9235,0.9144,0.9231,0.3942,4.3,0.9586,54,54,54,40,14,0,1,,54,54,47,15,,,measure_overfull measure_underfull
audiveris-5.6.1,ravel-pavane,typeset,4,true,,42392,10598,0,,,0.8159,0.8223,0.8095,0.8169,0.3095,6.1,0.9313,72,72,72,59,13,0,1,,72,72,72,20,,,measure_underfull measure_overfull ornaments_realized tempo_defaulted
audiveris-5.6.1,bach-846-prelude-fugue,typeset,7,true,,58717,8388,0,,,0.8693,0.9132,0.8294,0.8693,0.178,18.5,0.9797,62,62,62,50,12,0,1,,62,62,59,30,,,multi_part_collapsed measure_overfull measure_underfull tempo_defaulted
audiveris-5.6.1,bach-prelude-846-scan,scan,2,true,,31072,15536,0,,,0.9091,0.9363,0.8834,0.9091,0.2905,17.8,0.9918,35,34,34,29,5,0,,,34,34,34,12,,,measure_overfull measure_underfull tempo_defaulted
audiveris-5.6.1,bach-fugue-846-scan,scan,2,true,,33798,16899,0,,,0.8602,0.8683,0.8522,0.8921,0.4647,4.9,0.9799,27,27,27,23,4,0,,,27,27,25,12,,,measure_overfull measure_underfull ornaments_realized tempo_defaulted
audiveris-5.6.1,beethoven-8-2-scan,scan,3,true,,75962,25321,0,,,0.7174,0.8045,0.6472,0.718,0.177,28.7,0.9371,73,73,73,29,44,0,,,73,73,65,19,,,meter_suspect measure_overfull dynamics_not_staff_split tempo_defaulted
audiveris-5.6.1,beethoven-8-2-scan-berg,scan,4,false,No MusicXML produced,57723,14431,0,,,,,,,,,,,,,,,,,,,,,,,,
audiveris-5.6.1,haydn-39-3-scan,scan,4,true,,65627,16407,0,,,0.7225,0.7762,0.6758,0.7232,0.252,3.8,0.9001,121,121,121,108,13,0,,,242,242,232,24,,,measure_underfull measure_overfull tempo_defaulted repeats_unrolled
audiveris-5.6.1,mozart-11-3-scan,scan,4,true,,49605,12401,0,,,0.4045,0.4777,0.3507,0.4059,0.2221,6.6,0.9447,137,137,137,105,28,4,,,239,239,235,24,,,measure_underfull measure_overfull tempo_inferred ornaments_realized repeats_unrolled
audiveris-5.6.1,chopin-10-3-scan,scan,4,true,,78640,19660,0,,,0.7354,0.7774,0.6977,0.8429,0.1986,8.9,0.8731,78,74,74,45,29,0,,,74,74,67,20,,,measure_overfull measure_underfull ornaments_realized
audiveris-5.6.1,scriabin-8-11-scan,scan,3,true,,48410,16137,0,,,0.8763,0.8959,0.8575,0.8763,0.1054,4.9,0.9632,54,54,54,0,54,0,,,54,54,46,17,,,measure_overfull measure_underfull
